device_id,name,type,ip_address,data_id,timestamp,value,sensor_id,name,type,location,status
1005,SCADA2,"SCADA","10.0.0.105",23,1679484800,120.8,5,"LevelSensor","level","Tank 1","active"
1005,SCADA2,"SCADA","10.0.0.105",24,1679488400,119.9,5,"LevelSensor","level","Tank 1","active"
1005,SCADA2,"SCADA","10.0.0.105",25,1679492000,120.2,5,"LevelSensor","level","Tank 1","active"
1006,PLC3,"PLC","172.16.0.106",26,1679554400,75.2,6,"PressureSensor","pressure","Pipeline 3","active"
1006,PLC3,"PLC","172.16.0.106",27,1679558000,75.7,6,"PressureSensor","pressure","Pipeline 3","active"
1006,PLC3,"PLC","172.16.0.106",28,1679561600,75.5,6,"PressureSensor","pressure","Pipeline 3","active"
1006,PLC3,"PLC","172.16.0.106",29,1679565200,75.9,6,"PressureSensor","pressure","Pipeline 3","active"
1006,PLC3,"PLC","172.16.0.106",30,1679568800,75.1,6,"PressureSensor","pressure","Pipeline 3","active"
1007,RTU2,"RTU","192.168.1.107",31,1679641600,30.3,7,"TemperatureSensor","temperature","Room C","active"
1007,RTU2,"RTU","192.168.1.107",32,1679645200,30.7,7,"TemperatureSensor","temperature","Room C","active"
1007,RTU2,"RTU","192.168.1.107",33,1679648800,30.1,7,"TemperatureSensor","temperature","Room C","active"
1007,RTU2,"RTU","192.168.1.107",34,1679652400,30.5,7,"TemperatureSensor","temperature","Room C","active"
1007,RTU2,"RTU","192.168.1.107",35,1679656000,30.9,7,"TemperatureSensor","temperature","Room C","active"
1008,PLC4,"PLC","10.0.0.108",36,1679724000,80.2,8,"LevelSensor","level","Tank 2","active"
1008,PLC4,"PLC","10.0.0.108",37,1679727600,80.5,8,"LevelSensor","level","Tank 2","active"
1008,PLC4,"PLC","10.0.0.108",38,1679731200,80.1,8,"LevelSensor","level","Tank 2","active"
1008,PLC4,"PLC","10.0.0.108",39,1679734800,80.7,8,"LevelSensor","level","Tank 2","active"
1008,PLC4,"PLC","10.0.0.108",40,1679738400,80.3,8,"LevelSensor","level","Tank 2","active"
1009,RTU3,"RTU","172.16.0.109",41,1679806400,60.8,9,"FlowSensor","flow","Pipeline 4","active"
1009,RTU3,"RTU","172.16.0.109",42,1679810000,60.5,9,"FlowSensor","flow","Pipeline 4","active"
1009,RTU3,"RTU","172.16.0.109",43,1679813600,60.2,9,"FlowSensor","flow","Pipeline 4","active"
1009,RTU3,"RTU","172.16.0.109",44,1679817200,60.9,9,"FlowSensor","flow","Pipeline 4","active"
1009,RTU3,"RTU","172.16.0.109",45,1679820800,60.6,9,"FlowSensor","flow","Pipeline 4","active"
1010,SCADA3,"SCADA","192.168.1.110",46,1679883200,90.3,10,"HumiditySensor","humidity","Room D","active"
1010,SCADA3,"SCADA","192.168.1.110",47,1679886800,90.1,10,"HumiditySensor","humidity","Room D","active"
1010,SCADA3,"SCADA","192.168.1.110",48,1679890400,90.5,10,"HumiditySensor","humidity","Room D","active"
1010,SCADA3,"SCADA","192.168.1.110",49,1679894000,90.7,10,"HumiditySensor","humidity","Room D","active"
1010,SCADA3,"SCADA","192.168.1.110",50,1679897600,90.2,10,"HumiditySensor","humidity","Room D","active"
