app_id,name,version,vendor,dependencies,policy_id,name,description,requirements,os_id,name,version,vendor
15,App15,1.9,VendorC,["LibX", "LibY"],8,"Policy H","Compliance policy for App15 and App16",["Requirement 15", "Requirement 16"],10,"Solaris",11,"Oracle"
16,App16,2.7,VendorA,["LibZ", "LibW"],8,"Policy H","Compliance policy for App15 and App16",["Requirement 15", "Requirement 16"],1,"Windows Server",2008,"Microsoft"
17,App17,3.1,VendorB,["LibY", "LibX"],9,"Policy I","Compliance policy for App17",["Requirement 17", "Requirement 18"],2,"Ubuntu",16.04,"Canonical"
18,App18,1.4,VendorC,["LibZ", "LibW"],9,"Policy I","Compliance policy for App17",["Requirement 17", "Requirement 18"],3,"Red Hat Enterprise Linux",7,"Red Hat"
19,App19,2.3,VendorA,["LibX", "LibY"],10,"Policy J","Compliance policy for App19 and App20",["Requirement 19", "Requirement 20"],4,"CentOS",6,"Red Hat"
20,App20,3.7,VendorB,["LibZ", "LibW"],10,"Policy J","Compliance policy for App19 and App20",["Requirement 19", "Requirement 20"],5,"macOS",11,"Apple"
21,App21,1.7,VendorC,["LibY", "LibX"],11,"Policy K","Compliance policy for App21",["Requirement 21", "Requirement 22"],6,"Debian",10,"Debian"
22,App22,2.9,VendorA,["LibZ", "LibW"],11,"Policy K","Compliance policy for App21",["Requirement 21", "Requirement 22"],7,"SUSE Linux Enterprise Server",12,"SUSE"
23,App23,3.3,VendorB,["LibX", "LibY"],12,"Policy L","Compliance policy for App23 and App24",["Requirement 23", "Requirement 24"],8,"Oracle Linux",6,"Oracle"
24,App24,1.3,VendorC,["LibZ", "LibW"],12,"Policy L","Compliance policy for App23 and App24",["Requirement 23", "Requirement 24"],9,"Amazon Linux",1,"Amazon"
25,App25,2.6,VendorA,["LibY", "LibX"],13,"Policy M","Compliance policy for App25",["Requirement 25", "Requirement 26"],10,"Solaris",10,"Oracle"
26,App26,3.9,VendorB,["LibZ", "LibW"],13,"Policy M","Compliance policy for App25",["Requirement 25", "Requirement 26"],1,"Windows Server",2003,"Microsoft"
27,App27,1.0,VendorC,["LibX", "LibY"],14,"Policy N","Compliance policy for App27 and App28",["Requirement 27", "Requirement 28"],2,"Ubuntu",22.10,"Canonical"
28,App28,2.0,VendorA,["LibZ", "LibW"],14,"Policy N","Compliance policy for App27 and App28",["Requirement 27", "Requirement 28"],3,"Red Hat Enterprise Linux",8,"Red Hat"
29,App29,1.5,VendorB,["LibX", "LibZ"],15,"Policy O","Compliance policy for App29",["Requirement 29", "Requirement 30"],4,"CentOS",7,"Red Hat"
30,App30,3.0,VendorC,["LibY", "LibW"],15,"Policy O","Compliance policy for App29",["Requirement 29", "Requirement 30"],5,"macOS",13,"Apple"
31,App31,1.2,VendorA,["LibX", "LibY"],16,"Policy P","Compliance policy for App31 and App32",["Requirement 31", "Requirement 32"],6,"Debian",12,"Debian"
32,App32,2.5,VendorB,["LibZ", "LibW"],16,"Policy P","Compliance policy for App31 and App32",["Requirement 31", "Requirement 32"],7,"SUSE Linux Enterprise Server",15,"SUSE"
33,App33,1.1,VendorC,["LibX", "LibY"],17,"Policy Q","Compliance policy for App33",["Requirement 33", "Requirement 34"],8,"Oracle Linux",8,"Oracle"
34,App34,2.2,VendorA,["LibZ", "LibW"],17,"Policy Q","Compliance policy for App33",["Requirement 33", "Requirement 34"],9,"Amazon Linux",2023,"Amazon"
35,App35,3.5,VendorB,["LibY", "LibX"],18,"Policy R","Compliance policy for App35 and App36",["Requirement 35", "Requirement 36"],10,"Solaris",11,"Oracle"
36,App36,1.8,VendorC,["LibZ", "LibW"],18,"Policy R","Compliance policy for App35 and App36",["Requirement 35", "Requirement 36"],1,"Windows Server",2012,"Microsoft"
37,App37,2.1,VendorA,["LibX", "LibY"],19,"Policy S","Compliance policy for App37",["Requirement 37", "Requirement 38"],2,"Ubuntu",20.10,"Canonical"
38,App38,3.2,VendorB,["LibZ", "LibW"],19,"Policy S","Compliance policy for App37",["Requirement 37", "Requirement 38"],3,"Red Hat Enterprise Linux",9,"Red Hat"
39,App39,1.6,VendorC,["LibX", "LibZ"],20,"Policy T","Compliance policy for App39 and App40",["Requirement 39", "Requirement 40"],4,"CentOS",8,"Red Hat"
40,App40,2.8,VendorA,["LibY", "LibW"],20,"Policy T","Compliance policy for App39 and App40",["Requirement 39", "Requirement 40"],5,"macOS",12,"Apple"
41,App41,1.9,VendorB,["LibX", "LibY"],21,"Policy U","Compliance policy for App41",["Requirement 41", "Requirement 42"],6,"Debian",11,"Debian"
42,App42,2.7,VendorC,["LibZ", "LibW"],21,"Policy U","Compliance policy for App41",["Requirement 41", "Requirement 42"],7,"SUSE Linux Enterprise Server",15,"SUSE"
43,App43,3.1,VendorA,["LibY", "LibX"],22,"Policy V","Compliance policy for App43 and App44",["Requirement 43", "Requirement 44"],8,"Oracle Linux",7,"Oracle"
44,App44,1.4,VendorB,["LibZ", "LibW"],22,"Policy V","Compliance policy for App43 and App44",["Requirement 43", "Requirement 44"],9,"Amazon Linux",2,"Amazon"
45,App45,2.3,VendorC,["LibX", "LibY"],23,"Policy W","Compliance policy for App45",["Requirement 45", "Requirement 46"],10,"Solaris",11,"Oracle"
46,App46,3.7,VendorA,["LibZ", "LibW"],23,"Policy W","Compliance policy for App45",["Requirement 45", "Requirement 46"],1,"Windows Server",2019,"Microsoft"
47,App47,1.7,VendorB,["LibY", "LibX"],24,"Policy X","Compliance policy for App47 and App48",["Requirement 47", "Requirement 48"],2,"Ubuntu",22.04,"Canonical"
48,App48,2.9,VendorC,["LibZ", "LibW"],24,"Policy X","Compliance policy for App47 and App48",["Requirement 47", "Requirement 48"],3,"Red Hat Enterprise Linux",9,"Red Hat"
49,App49,3.3,VendorA,["LibX", "LibY"],25,"Policy Y","Compliance policy for App49",["Requirement 49", "Requirement 50"],4,"CentOS",8,"Red Hat"
50,App50,1.3,VendorB,["LibZ", "LibW"],25,"Policy Y","Compliance policy for App49",["Requirement 49", "Requirement 50"],5,"macOS",13,"Apple"
